
Source                                    CommandType Synopsis
Storage                                      Function Unblock-FileShareAccess -Name <string[]> -AccountName <string[]> [-FileServer <CimInstance#MSFT_FileServer>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] …
SmbShare                                     Function Unblock-SmbShareAccess [-Name] <string[]> [[-ScopeName] <string[]>] [-SmbInstance <SmbInstance>] [-AccountName <string[]>] [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob]…
MsDtc                                        Function Undo-DtcDiagnosticTransaction [-Transaction] <DtcDiagnosticTransaction> [<CommonParameters>]
MsDtc                                        Function Uninstall-Dtc [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
PowerShellGet                                Function Uninstall-Module [-Name] <string[]> [-MinimumVersion <string>] [-RequiredVersion <string>] [-MaximumVersion <string>] [-AllVersions] [-Force] [-AllowPrerelease] [-WhatIf] [-Confirm] [<CommonPa…
PowerShellGet                                Function Uninstall-Script [-Name] <string[]> [-MinimumVersion <string>] [-RequiredVersion <string>] [-MaximumVersion <string>] [-Force] [-AllowPrerelease] [-WhatIf] [-Confirm] [<CommonParameters>]Unins…
BitLocker                                    Function Unlock-BitLocker [-MountPoint] <string[]> -Password <securestring> [-WhatIf] [-Confirm] [<CommonParameters>]Unlock-BitLocker [-MountPoint] <string[]> -RecoveryPassword <string> [-WhatIf] [-Con…
AppvClient                                   Function Unpublish-AppvClientPackage [-PackageId] <guid> [-VersionId] <guid> [-Global] [-UserSID <string>] [<CommonParameters>]Unpublish-AppvClientPackage [-Package] <AppvClientPackage> [-Global] [-Use…
AppBackgroundTask                            Function Unregister-AppBackgroundTask -TaskID <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
ScheduledTasks                               Function Unregister-ClusteredScheduledTask [-TaskName] <string> [[-Cluster] <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Unregister-ClusteredScheduledTask …
PowerShellEditorServices.Commands            Function Unregisters a command which has already been registered in the host editor.
iSCSI                                        Function Unregister-IscsiSession -SessionIdentifier <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Unregister-IscsiSession -InputObject <CimInst…
PowerShellGet                                Function Unregister-PSRepository [-Name] <string[]> [<CommonParameters>]
ScheduledTasks                               Function Unregister-ScheduledTask [[-TaskName] <string[]>] [[-TaskPath] <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Unr…
Storage                                      Function Unregister-StorageSubsystem [-ProviderName] <string[]> [-StorageSubSystemUniqueId <string>] [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters…
EventTracingManagement                       Function Update-AutologgerConfig [-Name] <string[]> [-BufferSize <uint>] [-ClockType <ClockType>] [-DisableRealtimePersistence <uint>] [-LocalFilePath <string>] [-FileMax <uint>] [-FlushTimer <uint>] […
Storage                                      Function Update-Disk [-Number] <uint[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Update-Disk -UniqueId <string[]> [-CimSession <CimSession[]>] [-Thro…
PSDesiredStateConfiguration                  Function 
EventTracingManagement                       Function Update-EtwTraceSession [-Name] <string[]> [-LogFileMode <uint>] [-LocalFilePath <string>] [-MaximumFileSize <uint>] [-BufferSize <uint>] [-MaximumBuffers <uint>] [-FlushTimer <uint>] [-ClockTy…
Storage                                      Function Update-HostStorageCache [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
iSCSI                                        Function Update-IscsiTarget [-NodeAddress <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Update-IscsiTarget [-IscsiConnection <CimInstance#MSFT…
iSCSI                                        Function Update-IscsiTargetPortal [-TargetPortalAddress] <string[]> [-InitiatorInstanceName <string>] [-InitiatorPortalAddress <string>] [-TargetPortalPortNumber <uint16>] [-CimSession <CimSession[]>] …
PowerShellGet                                Function Update-Module [[-Name] <string[]>] [-RequiredVersion <string>] [-MaximumVersion <string>] [-Credential <pscredential>] [-Scope <string>] [-Proxy <uri>] [-ProxyCredential <pscredential>] [-Forc…
PowerShellGet                                Function Update-ModuleManifest [-Path] <string> [-NestedModules <Object[]>] [-Guid <guid>] [-Author <string>] [-CompanyName <string>] [-Copyright <string>] [-RootModule <string>] [-ModuleVersion <versi…
ConfigDefender                               Function Update-MpSignature [-UpdateSource <UpdateSource>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Defender                                     Function Update-MpSignature [-UpdateSource <UpdateSource>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
NetSecurity                                  Function Update-NetFirewallDynamicKeywordAddress [-Id <string>] [-Addresses <string>] [-Append <bool>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
NetSecurity                                  Function Update-NetIPsecRule -IPsecRuleName <string[]> -Action <ChangeAction> -EndpointType <EndpointType> [-PolicyStore <string>] [-GPOSession <string>] [-IPv6Addresses <string[]>] [-IPv4Addresses <st…
PowerShellGet                                Function Update-Script [[-Name] <string[]>] [-RequiredVersion <string>] [-MaximumVersion <string>] [-Proxy <uri>] [-ProxyCredential <pscredential>] [-Credential <pscredential>] [-Force] [-AllowPrerelea…
PowerShellGet                                Function Update-ScriptFileInfo [-Path] <string> [-Version <string>] [-Author <string>] [-Guid <guid>] [-Description <string>] [-CompanyName <string>] [-Copyright <string>] [-RequiredModules <Object[]>]…
SmbShare                                     Function Update-SmbMultichannelConnection [[-ServerName] <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
StorageBusCache                              Function Update-StorageBusCache [-NoBind] [-NoPool] [-NoCacheUsage] [-NoTiers] [<CommonParameters>]
Storage                                      Function Update-StorageFirmware [-FriendlyName] <string> [-ImagePath <string>] [-SlotNumber <ushort>] [-CimSession <CimSession>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Update-StorageFirmwa…
Storage                                      Function Update-StoragePool [-FriendlyName] <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Update-StoragePool -UniqueId <st…
Storage                                      Function Update-StorageProviderCache [[-Name] <string[]>] [-Manufacturer <string[]>] [-DiscoveryLevel <DiscoveryLevel>] [-RootObject <ref>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] …
MsDtc                                        Function Write-DtcTransactionsTraceSession [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
VMDirectStorage                              Function Write-VolumeCache [-DriveLetter] <char[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Write-VolumeCache -ObjectId <string[]> [-CimSession <CimS…
PrintManagement                              Function Write-PrinterNfcTag [[-SharePath] <string[]>] [[-WsdAddress] <string[]>] [-Lock] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Write-PrinterNfcTag [-InputObj…
Storage                                      Function Write-VolumeCache [-DriveLetter] <char[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Write-VolumeCache -ObjectId <string[]> [-CimSession <CimS…
Dism                                           Cmdlet Add-AppProvisionedSharedPackageContainer -DefinitionFile <string> -Path <string> [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] [-LogLeve…
Dism                                           Cmdlet Add-AppxProvisionedPackage -Path <string> [-FolderPath <string>] [-PackagePath <string>] [-DependencyPackagePath <string[]>] [-OptionalPackagePath <string[]>] [-LicensePath <string[]>] [-SkipL…
BitsTransfer                                   Cmdlet Add-BitsFile [-BitsJob] <BitsJob[]> [-Source] <string[]> [[-Destination] <string[]>] [-WhatIf] [-Confirm] [<CommonParameters>]
PKI                                            Cmdlet Add-CertificateEnrollmentPolicyServer -Url <uri> -context <Context> [-NoClobber] [-RequireStrongValidation] [-Credential <PkiCredential>] [-AutoEnrollmentEnabled] [-WhatIf] [-Confirm] [<Common…
Microsoft.PowerShell.Management                Cmdlet Add-Content [-Path] <string[]> [-Value] <Object[]> [-PassThru] [-Filter <string>] [-Include <string[]>] [-Exclude <string[]>] [-Force] [-Credential <pscredential>] [-WhatIf] [-Confirm] [-NoNew…
Microsoft.PowerShell.Core                      Cmdlet Add-History [[-InputObject] <psobject[]>] [-Passthru] [<CommonParameters>]
PSScheduledJob                                 Cmdlet Add-JobTrigger
Kds                                            Cmdlet Add-KdsRootKey [[-EffectiveTime] <datetime>] [-LocalTestOnly] [-WhatIf] [-Confirm] [<CommonParameters>]Add-KdsRootKey -EffectiveImmediately [-LocalTestOnly] [-WhatIf] [-Confirm] [<CommonParame…
Microsoft.PowerShell.LocalAccounts             Cmdlet Add-LocalGroupMember [-Group] <LocalGroup> [-Member] <LocalPrincipal[]> [-WhatIf] [-Confirm] [<CommonParameters>]Add-LocalGroupMember [-Name] <string> [-Member] <LocalPrincipal[]> [-WhatIf] [-…
Microsoft.PowerShell.Utility                   Cmdlet Add-Member -InputObject <psobject> -TypeName <string> [-PassThru] [<CommonParameters>]Add-Member [-MemberType] <PSMemberTypes> [-Name] <string> [[-Value] <Object>] [[-SecondValue] <Object>] -I…
Microsoft.PowerShell.Utility                   Cmdlet Add-Type [-TypeDefinition] <string> [-Language <Language>] [-ReferencedAssemblies <string[]>] [-OutputAssembly <string>] [-OutputType <OutputAssemblyType>] [-PassThru] [-IgnoreWarnings] [-Comp…
Hyper-V                                        Cmdlet Add-VMAssignableDevice [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-InstancePath <string>] [-LocationPath <string>] [-VirtualFu…
Hyper-V                                        Cmdlet Add-VMDvdDrive [-VMName] <string[]> [[-ControllerNumber] <int>] [[-ControllerLocation] <int>] [[-Path] <string>] [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredent…
Hyper-V                                        Cmdlet Add-VMFibreChannelHba [-VMName] <string> [-SanName] <string> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-GenerateWwn] [-Passthru] [-WhatIf] [-Confi…
Hyper-V                                        Cmdlet Add-VMGpuPartitionAdapter [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-InstancePath <string>] [-MinPartitionVRAM <u…
Hyper-V                                        Cmdlet Add-VMGroupMember [-Name] <string> [-VM] <VirtualMachine[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-WhatIf] [-Confirm] [<CommonPara…
Hyper-V                                        Cmdlet Add-VMHardDiskDrive [-VMName] <string[]> [[-ControllerType] <ControllerType>] [[-ControllerNumber] <int>] [[-ControllerLocation] <int>] [[-Path] <string>] [-CimSession <CimSession[]>] [-Comput…
Hyper-V                                        Cmdlet Add-VMHostAssignableDevice -ResourcePoolName <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Force] [-InstancePath <string>] [-LocationPath …
Hyper-V                                        Cmdlet Add-VMKeyStorageDrive [-VMName] <string[]> [[-ControllerNumber] <int>] [[-ControllerLocation] <int>] [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Re…
Hyper-V                                        Cmdlet Add-VMMigrationNetwork [-Subnet] <string> [[-Priority] <uint>] [-CimSession <CimSession[]>] [-Passthru] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-WhatIf] [-Confirm] [<CommonP…
Hyper-V                                        Cmdlet Add-VMNetworkAdapter [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-SwitchName <string>] [-IsLegacy <bool>] [-Name <string>] [-Dy…
Hyper-V                                        Cmdlet Add-VMNetworkAdapterAcl [-VMName] <string[]> -Action <VMNetworkAdapterAclAction> -Direction <VMNetworkAdapterAclDirection> [-LocalIPAddress <string[]>] [-LocalMacAddress <string[]>] [-RemoteIP…
Hyper-V                                        Cmdlet Add-VMNetworkAdapterExtendedAcl [-VMName] <string[]> [-Action] <VMNetworkAdapterExtendedAclAction> [-Direction] <VMNetworkAdapterExtendedAclDirection> [[-LocalIPAddress] <string>] [[-RemoteIPA…
Hyper-V                                        Cmdlet Add-VMNetworkAdapterRoutingDomainMapping [-VMName] <string[]> [-RoutingDomainID] <guid> [-RoutingDomainName] <string> [-IsolationID] <int[]> [[-IsolationName] <string[]>] [-Passthru] [-VMNetwo…
Hyper-V                                        Cmdlet Add-VMPmemController [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-WhatIf] [-Confirm] [<CommonParameters>]Add-VMPmem…
Hyper-V                                        Cmdlet Add-VMRemoteFx3dVideoAdapter [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-WhatIf] [-Confirm] [<CommonParameters>]Ad…
Hyper-V                                        Cmdlet Add-VMScsiController [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-WhatIf] [-Confirm] [<CommonParameters>]Add-VMScsi…
Hyper-V                                        Cmdlet Add-VMStoragePath [-Path] <string[]> [-ResourcePoolName] <string[]> [-ResourcePoolType] <VMResourcePoolType> [-Passthru] [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <p…
Hyper-V                                        Cmdlet Add-VMSwitch [-Name] <string[]> [-ResourcePoolName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [<CommonParameters>]Add-VMSwitch [-VMSwitc…
Hyper-V                                        Cmdlet Add-VMSwitchExtensionPortFeature [-VMName] <string[]> -VMSwitchExtensionFeature <VMSwitchExtensionPortFeature[]> [-VMNetworkAdapterName <string>] [-CimSession <CimSession[]>] [-ComputerName <s…
Hyper-V                                        Cmdlet Add-VMSwitchExtensionSwitchFeature [-SwitchName] <string[]> -VMSwitchExtensionFeature <VMSwitchExtensionSwitchFeature[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <p…
Hyper-V                                        Cmdlet Add-VMSwitchTeamMember [-VMSwitchName] <string[]> [-ComputerName <string[]>] [-NetAdapterName <string[]>] [-Passthru] [-CimSession <CimSession[]>] [-Credential <pscredential[]>] [-WhatIf] [-Co…
Dism                                           Cmdlet Add-WindowsCapability -Online [-Name <string>] [-Recipe <string>] [-LimitAccess] [-Source <string[]>] [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirector…
Dism                                           Cmdlet Add-WindowsDriver -Path <string> [-Recurse] [-ForceUnsigned] [-Driver <string>] [-BasicDriverObject <BasicDriverObject>] [-AdvancedDriverObject <AdvancedDriverObject>] [-WindowsDirectory <stri…
Dism                                           Cmdlet Add-WindowsImage -ImagePath <string> -CapturePath <string> -Name <string> [-ConfigFilePath <string>] [-Description <string>] [-CheckIntegrity] [-NoRpFix] [-Setbootable] [-Verify] [-WIMBoot] [-…
Dism                                           Cmdlet Add-WindowsPackage -PackagePath <string> -Online [-IgnoreCheck] [-PreventPending] [-NoRestart] [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <stri…
Hyper-V                                        Cmdlet Checkpoint-VM [-Name] <string[]> [[-SnapshotName] <string>] [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-AsJob] [-Passthru] [-WhatIf] [-Confirm] [<C…
Microsoft.PowerShell.Management                Cmdlet Clear-Content [-Path] <string[]> [-Filter <string>] [-Include <string[]>] [-Exclude <string[]>] [-Force] [-Credential <pscredential>] [-WhatIf] [-Confirm] [-Stream <string>] [<CommonParameters…
Microsoft.PowerShell.Core                      Cmdlet Clear-History [[-Id] <int[]>] [[-Count] <int>] [-Newest] [-WhatIf] [-Confirm] [<CommonParameters>]Clear-History [[-Count] <int>] [-CommandLine <string[]>] [-Newest] [-WhatIf] [-Confirm] [<Comm…
Microsoft.PowerShell.Management                Cmdlet Clear-Item [-Path] <string[]> [-Force] [-Filter <string>] [-Include <string[]>] [-Exclude <string[]>] [-Credential <pscredential>] [-WhatIf] [-Confirm] [<CommonParameters>]Clear-Item -LiteralP…
Microsoft.PowerShell.Management                Cmdlet Clear-ItemProperty [-Path] <string[]> [-Name] <string> [-PassThru] [-Force] [-Filter <string>] [-Include <string[]>] [-Exclude <string[]>] [-Credential <pscredential>] [-WhatIf] [-Confirm] [<C…
Kds                                            Cmdlet Clear-KdsCache [-CacheOwnerSid <string>] [-WhatIf] [-Confirm] [<CommonParameters>]
Microsoft.PowerShell.Management                Cmdlet Clear-RecycleBin [[-DriveLetter] <string[]>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]
TrustedPlatformModule                          Cmdlet Clear-Tpm [[-OwnerAuthorization] <string>] [-UsePPI] [<CommonParameters>]Clear-Tpm -File <string> [<CommonParameters>]
Microsoft.PowerShell.Utility                   Cmdlet Clear-Variable [-Name] <string[]> [-Include <string[]>] [-Exclude <string[]>] [-Force] [-PassThru] [-Scope <string>] [-WhatIf] [-Confirm] [<CommonParameters>]
Dism                                           Cmdlet Clear-WindowsCorruptMountPoint [-LogPath <string>] [-ScratchDirectory <string>] [-LogLevel <LogLevel>] [<CommonParameters>]
PowerShellEditorServices.VSCode                Cmdlet Closes an HtmlContentView.
Microsoft.PowerShell.Utility                   Cmdlet Compare-Object [-ReferenceObject] <psobject[]> [-DifferenceObject] <psobject[]> [-SyncWindow <int>] [-Property <Object[]>] [-ExcludeDifferent] [-IncludeEqual] [-PassThru] [-Culture <string>] […
Hyper-V                                        Cmdlet Compare-VM [-Name] <string> [-DestinationHost] <string> [-ComputerName <string[]>] [-Credential <pscredential[]>] [-AsJob] [-DestinationCredential <pscredential>] [-IncludeStorage] [-Destinati…
BitsTransfer                                   Cmdlet Complete-BitsTransfer [-BitsJob] <BitsJob[]> [-WhatIf] [-Confirm] [<CommonParameters>]
Hyper-V                                        Cmdlet Complete-VMFailover [-VMName] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-WhatIf] [-Confirm] [<CommonParameters>]Complete-VM…
SecureBoot                                     Cmdlet Confirm-SecureBootUEFI [<CommonParameters>]
Microsoft.PowerShell.Core                      Cmdlet Connect-PSSession -Name <string[]> [-ThrottleLimit <int>] [-WhatIf] [-Confirm] [<CommonParameters>]Connect-PSSession [-Session] <PSSession[]> [-ThrottleLimit <int>] [-WhatIf] [-Confirm] [<Comm…
Hyper-V                                        Cmdlet Connect-VMNetworkAdapter [-VMName] <string[]> [[-Name] <string[]>] [-SwitchName] <string> [-Passthru] [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-W…
Hyper-V                                        Cmdlet Connect-VMSan [-Name] <string> -WorldWideNodeName <string[]> -WorldWidePortName <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-…
Microsoft.WSMan.Management                     Cmdlet Connect-WSMan [[-ComputerName] <string>] [-ApplicationName <string>] [-OptionSet <hashtable>] [-Port <int>] [-SessionOption <SessionOption>] [-UseSSL] [-Credential <pscredential>] [-Authentica…
Microsoft.PowerShell.Management                Cmdlet Convert-Path [-Path] <string[]> [<CommonParameters>]Convert-Path -LiteralPath <string[]> [<CommonParameters>]
Hyper-V                                        Cmdlet Convert-VHD [-Path] <string> [-DestinationPath] <string> [-VHDType <VhdType>] [-ParentPath <string>] [-BlockSizeBytes <uint>] [-DeleteSource] [-AsJob] [-Passthru] [-AddressAbstractionType <Vir…
Microsoft.PowerShell.Utility                   Cmdlet ConvertFrom-Csv [-InputObject] <psobject[]> [[-Delimiter] <char>] [-Header <string[]>] [<CommonParameters>]ConvertFrom-Csv [-InputObject] <psobject[]> -UseCulture [-Header <string[]>] [<Common…
Microsoft.PowerShell.Utility                   Cmdlet ConvertFrom-Json [-InputObject] <string> [-AsHashtable] [-Depth <int>] [-NoEnumerate] [<CommonParameters>]
Microsoft.PowerShell.Utility                   Cmdlet ConvertFrom-Markdown [-Path] <string[]> [-AsVT100EncodedString] [<CommonParameters>]ConvertFrom-Markdown -LiteralPath <string[]> [-AsVT100EncodedString] [<CommonParameters>]ConvertFrom-Markdow…
Microsoft.PowerShell.Utility                   Cmdlet ConvertFrom-SddlString [-Sddl] <string> [-Type <ConvertFromSddlStringCommand+AccessRightTypeNames>] [<CommonParameters>]
Microsoft.PowerShell.Security                  Cmdlet ConvertFrom-SecureString [-SecureString] <securestring> [[-SecureKey] <securestring>] [<CommonParameters>]ConvertFrom-SecureString [-SecureString] <securestring> [-AsPlainText] [<CommonParamet…
Microsoft.PowerShell.Utility                   Cmdlet ConvertFrom-StringData [-StringData] <string> [[-Delimiter] <char>] [<CommonParameters>]
Microsoft.PowerShell.Utility                   Cmdlet ConvertTo-Csv [-InputObject] <psobject> [[-Delimiter] <char>] [-IncludeTypeInformation] [-NoTypeInformation] [-QuoteFields <string[]>] [-UseQuotes <BaseCsvWritingCommand+QuoteKind>] [<CommonPa…
Microsoft.PowerShell.Utility                   Cmdlet ConvertTo-Html [[-Property] <Object[]>] [[-Head] <string[]>] [[-Title] <string>] [[-Body] <string[]>] [-InputObject <psobject>] [-As <string>] [-CssUri <uri>] [-PostContent <string[]>] [-PreCo…
Microsoft.PowerShell.Utility                   Cmdlet ConvertTo-Json [-InputObject] <Object> [-Depth <int>] [-Compress] [-EnumsAsStrings] [-AsArray] [-EscapeHandling <StringEscapeHandling>] [<CommonParameters>]
ProcessMitigations                             Cmdlet Converts an mitigation policy file formats.
Microsoft.PowerShell.Security                  Cmdlet ConvertTo-SecureString [-String] <string> [[-SecureKey] <securestring>] [<CommonParameters>]ConvertTo-SecureString [-String] <string> [-AsPlainText] [-Force] [<CommonParameters>]ConvertTo-Secu…
TrustedPlatformModule                          Cmdlet ConvertTo-TpmOwnerAuth [-PassPhrase] <string> [<CommonParameters>]
Microsoft.PowerShell.Utility                   Cmdlet ConvertTo-Xml [-InputObject] <psobject> [-Depth <int>] [-NoTypeInformation] [-As <string>] [<CommonParameters>]
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Copy-BcdEntry [-SourceEntryId] <string> -TargetStore <BcdStoreInfo[]> [-Description <string>] [-SourceStore <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Copy-BcdEntry [-So…
Microsoft.PowerShell.Management                Cmdlet Copy-Item [-Path] <string[]> [[-Destination] <string>] [-Container] [-Force] [-Filter <string>] [-Include <string[]>] [-Exclude <string[]>] [-Recurse] [-PassThru] [-Credential <pscredential>] …
Microsoft.PowerShell.Management                Cmdlet Copy-ItemProperty [-Path] <string[]> [-Destination] <string> [-Name] <string> [-PassThru] [-Force] [-Filter <string>] [-Include <string[]>] [-Exclude <string[]>] [-Credential <pscredential>] […
International                                  Cmdlet Copy-UserInternationalSettingsToSystem [-NewUser] <bool> [<CommonParameters>]
Hyper-V                                        Cmdlet Copy-VMFile [-Name] <string[]> [-SourcePath] <string> [-DestinationPath] <string> -FileSource <CopyFileSourceType> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscrede…
Microsoft.PowerShell.Core                      Cmdlet Debug-Job [-Job] <Job> [-BreakAll] [-WhatIf] [-Confirm] [<CommonParameters>]Debug-Job [-Name] <string> [-BreakAll] [-WhatIf] [-Confirm] [<CommonParameters>]Debug-Job [-Id] <int> [-BreakAll] [-…
Microsoft.PowerShell.Management                Cmdlet Debug-Process [-Name] <string[]> [-WhatIf] [-Confirm] [<CommonParameters>]Debug-Process [-Id] <int[]> [-WhatIf] [-Confirm] [<CommonParameters>]Debug-Process -InputObject <Process[]> [-WhatIf] …
Microsoft.PowerShell.Utility                   Cmdlet Debug-Runspace [-Runspace] <runspace> [-BreakAll] [-WhatIf] [-Confirm] [<CommonParameters>]Debug-Runspace [-Name] <string> [-BreakAll] [-WhatIf] [-Confirm] [<CommonParameters>]Debug-Runspace […
Hyper-V                                        Cmdlet Debug-VM [-Name] <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Force] [-AsJob] [-Passthru] [-InjectNonMaskableInterrupt] [-WhatIf] [-Confi…
AppBackgroundTask                              Cmdlet Disable-AppBackgroundTaskDiagnosticLog [-WhatIf] [-Confirm] [<CommonParameters>]
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Disable-BcdElementBootDebug [-Id] <string> [[-Store] <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-BcdElementBootDebug [-Entry] <BcdEntryInfo> [-Force] [-WhatIf] [-…
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Disable-BcdElementBootEms [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-BcdElementBootEms [-Id] <string> [[-Store] <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>…
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Disable-BcdElementDebug [[-Id] <string>] [-Store <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-BcdElementDebug [-Entry] <BcdEntryInfo> [-Force] [-WhatIf] [-Confirm]…
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Disable-BcdElementEms [-Id] <string> [[-Store] <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-BcdElementEms [-Entry] <BcdEntryInfo> [-Force] [-WhatIf] [-Confirm] [<C…
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Disable-BcdElementEventLogging [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-BcdElementEventLogging [-Id] <string> [[-Store] <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<CommonP…
Microsoft.Windows.Bcd.Cmdlets                  Cmdlet Disable-BcdElementHypervisorDebug [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-BcdElementHypervisorDebug [-Id] <string> [[-Store] <BcdStoreInfo>] [-Force] [-WhatIf] [-Confirm] [<C…
Microsoft.PowerShell.Core                      Cmdlet Disable-ExperimentalFeature [-Name] <string[]> [-Scope <ConfigScope>] [-WhatIf] [-Confirm] [<CommonParameters>]
PSScheduledJob                                 Cmdlet Disable-JobTrigger
Microsoft.PowerShell.LocalAccounts             Cmdlet Disable-LocalUser [-InputObject] <LocalUser[]> [-WhatIf] [-Confirm] [<CommonParameters>]Disable-LocalUser [-Name] <string[]> [-WhatIf] [-Confirm] [<CommonParameters>]Disable-LocalUser [-SID] <…
Microsoft.PowerShell.Utility                   Cmdlet Disable-PSBreakpoint [-Breakpoint] <Breakpoint[]> [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Disable-PSBreakpoint [-Id] <int[]> [-PassThru] [-Runspace <runspace>] [-WhatIf] [-Confirm…
Microsoft.PowerShell.Core                      Cmdlet Disable-PSRemoting [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]
