
Source                                    CommandType Synopsis
EventTracingManagement                          Alias Update-EtwTraceSession [-Name] <string[]> [-LogFileMode <uint>] [-LocalFilePath <string>] [-MaximumFileSize <uint>] [-BufferSize <uint>] [-MaximumBuffers <uint>] [-FlushTimer <uint>] [-ClockTy…
Dism                                            Alias Set-AppXProvisionedDataFile -PackageName <string> -CustomDataPath <string> -Path <string> [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] …
Dism                                            Alias Set-AppXProvisionedDataFile -PackageName <string> -CustomDataPath <string> -Path <string> [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] …
Storage                                         Alias Write-VolumeCache [-DriveLetter] <char[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Write-VolumeCache -ObjectId <string[]> [-CimSession <CimS…
Appx                                         Function Add-AppSharedPackageContainer [-Path] <string> [-ForceApplicationShutdown] [-Merge] [-Force] [<CommonParameters>]
AppvClient                                   Function Add-AppvClientConnectionGroup [-Path] <string> [<CommonParameters>]
AppvClient                                   Function Add-AppvClientPackage [-Path] <string> [[-DynamicDeploymentConfiguration] <string>] [<CommonParameters>]
AppvClient                                   Function Add-AppvPublishingServer [-Name] <string> [-URL] <string> [[-GlobalRefreshEnabled] <bool>] [[-GlobalRefreshOnLogon] <bool>] [[-GlobalRefreshInterval] <uint32>] [[-GlobalRefreshIntervalUnit] <I…
Appx                                         Function 
Appx                                         Function 
BranchCache                                  Function Add-BCDataCacheExtension [[-Percentage] <uint>] [[-Path] <string>] [-Force] [-PassThru] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]Ad…
BitLocker                                    Function Add-BitLockerKeyProtector [-MountPoint] <string[]> [[-Password] <securestring>] -PasswordProtector [-WhatIf] [-Confirm] [<CommonParameters>]Add-BitLockerKeyProtector [-MountPoint] <string[]> […
DnsClient                                    Function Add-DnsClientDohServerAddress [-ServerAddress] <string> [[-DohTemplate] <string>] [[-AllowFallbackToUdp] <bool>] [[-AutoUpgrade] <bool>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-A…
DnsClient                                    Function Add-DnsClientNrptRule [-Namespace] <string[]> [-GpoName <string>] [-DANameServers <string[]>] [-DAIPsecRequired] [-DAIPsecEncryptionType <string>] [-DAProxyServerName <string>] [-DnsSecEnable]…
MsDtc                                        Function Add-DtcClusterTMMapping -Name <string> -ClusterResourceName <string> -Local <bool> -Service <string> [-PassThru] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters…
EventTracingManagement                       Function Add-EtwTraceProvider [-Guid] <string> -SessionName <string> [-Level <byte>] [-MatchAnyKeyword <ulong>] [-MatchAllKeyword <ulong>] [-Property <uint>] [-CimSession <CimSession[]>] [-ThrottleLimi…
Storage                                      Function Add-InitiatorIdToMaskingSet [-MaskingSetFriendlyName] <string[]> [-InitiatorIds <string[]>] [-HostType <HostType>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-Wh…
ConfigDefender                               Function Add-MpPreference [-ExclusionPath <string[]>] [-ExclusionExtension <string[]>] [-ExclusionProcess <string[]>] [-ExclusionIpAddress <string[]>] [-ThreatIDDefaultAction_Ids <long[]>] [-ThreatIDDe…
Defender                                     Function Add-MpPreference [-ExclusionPath <string[]>] [-ExclusionExtension <string[]>] [-ExclusionProcess <string[]>] [-ExclusionIpAddress <string[]>] [-ThreatIDDefaultAction_Ids <long[]>] [-ThreatIDDe…
NetEventPacketCapture                        Function Add-NetEventNetworkAdapter [-Name] <string> [[-PromiscuousMode] <bool>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
NetEventPacketCapture                        Function Add-NetEventPacketCaptureProvider [-SessionName] <string> [[-Level] <byte>] [[-MatchAnyKeyword] <ulong>] [[-MatchAllKeyword] <ulong>] [[-CaptureType] <CaptureType>] [[-MultiLayer] <bool>] [[-L…
NetEventPacketCapture                        Function Add-NetEventProvider [-Name] <string> [-SessionName] <string> [[-Level] <byte>] [[-MatchAnyKeyword] <ulong>] [[-MatchAllKeyword] <ulong>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-…
NetEventPacketCapture                        Function Add-NetEventVFPProvider [-SessionName] <string> [[-Level] <byte>] [[-MatchAnyKeyword] <ulong>] [[-MatchAllKeywords] <ulong>] [[-DestinationMACAddresses] <string[]>] [[-SourceMACAddresses] <str…
NetEventPacketCapture                        Function Add-NetEventVmNetworkAdapter [-Name] <string> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
NetEventPacketCapture                        Function Add-NetEventVmSwitch [-Name] <string> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
NetEventPacketCapture                        Function Add-NetEventVmSwitchProvider [-SessionName] <string> [[-Level] <byte>] [[-MatchAnyKeyword] <ulong>] [[-MatchAllKeywords] <ulong>] [[-SwitchName] <string>] [[-PortIds] <uint[]>] [-CimSession <C…
NetEventPacketCapture                        Function Add-NetEventWFPCaptureProvider [-SessionName] <string> [[-Level] <byte>] [[-MatchAnyKeyword] <ulong>] [[-MatchAllKeyword] <ulong>] [[-CaptureLayerSet] <WFPCaptureSet>] [[-IPAddresses] <string[…
NetworkTransition                            Function Add-NetIPHttpsCertBinding -CertificateHash <string> -ApplicationId <string> -IpPort <string> -CertificateStoreName <string> -NullEncryption <bool> [-CimSession <CimSession[]>] [-ThrottleLimit …
